scenario_group,valve_context,thickness_mm,pore_index_0_1,degradation_half_life_months,material_risk_index_0_1,morphology_index_0_1,target_gradient_mmHg,predicted_gradient_mmHg,effective_orifice_area_cm2,residual_Mw_12m_percent,integration_12m_index_0_1,region_specificity_hinge_belly_ratio,regurgitation_fraction_percent,failure_risk_0_1,objective_score,feasible,result_type
baseline,pulmonary_reference,0.7578626412725687,0.5597785857286802,27.086243179528747,0.30815199921213693,0.44316680678399684,1.4,10.81300827971722,2.0427798731819085,74.04455689119756,0.6970988501343488,7.164461869438333,17.189935936836736,0.09666305964400294,-0.31874681747895284,1,scenario_model_generated_from_literature_calibrated_priors
baseline,pulmonary_reference,0.4730466737892445,0.5458178916413626,33.352666789452876,0.1670224955161127,0.2378541950932645,1.4,5.0,2.4904315276665105,74.2553230802938,0.46122519073342455,3.794073058903918,9.196302941673489,0.02752675766427895,0.12555822859689042,1,scenario_model_generated_from_literature_calibrated_priors
baseline,pulmonary_reference,0.829808231924675,0.7956922323549072,32.09834475585631,0.5010882201846181,0.091458410091972,1.4,15.908848637503523,1.8176762684485577,79.96235512431441,0.7029391489143633,2.4392258010128836,11.54176463752492,0.4264665127320527,-0.8218868019619736,0,scenario_model_generated_from_literature_calibrated_priors
baseline,pulmonary_reference,0.6927628247004592,0.6894794945684101,36.56132783344279,0.24804348842894702,0.4663672875344579,1.4,8.853593143487199,2.1115148862955806,76.63794836902633,0.76890748615586,6.77456444011868,9.009145584465571,0.05150588065723823,-0.10049863671388905,1,scenario_model_generated_from_literature_calibrated_priors
baseline,pulmonary_reference,0.1800507457045021,0.07391998849756252,33.78472634695365,0.8919957710653877,0.7832978136663725,1.4,5.0,2.68145073397476,74.14080857509319,0.30880109810529743,4.773601457517797,18.33895116174575,0.7416247238127088,-0.14510273469590546,0,scenario_model_generated_from_literature_calibrated_priors
baseline,pulmonary_reference,0.9292789988912425,0.0945132234314141,15.912546658542222,0.05360284619850119,0.7067137942348823,1.4,16.675856429841605,1.3697564381385574,56.14952839739797,0.36418265051717214,6.200988802995384,13.447120875703865,0.6519671192364933,-1.0,0,scenario_model_generated_from_literature_calibrated_priors
baseline,aortic_high_pressure,0.7469687466918,0.5914026072104142,25.788076956024355,0.17887706396880942,0.4177406908645252,32.75,42.218458912904815,1.9401039381973626,68.38012737376474,0.7265847103355558,5.9104916248124715,8.06059048042508,0.23294040937276228,0.4389807839965511,1,scenario_model_generated_from_literature_calibrated_priors
baseline,aortic_high_pressure,0.7681546594854107,0.4875728680600479,17.51718269099456,0.27182826777508406,0.5852324047258403,32.75,41.610712523139384,1.8927120880294366,58.789488103762984,0.6662876922612463,5.656044689389355,13.604281867819417,0.253266364156772,0.38556190114166533,0,scenario_model_generated_from_literature_calibrated_priors
baseline,aortic_high_pressure,0.208896587774214,0.28416618980869224,18.553132145648078,0.22906104043387554,0.4426218688515958,32.75,22.652012541835234,2.8028510254725747,60.412854618623236,0.287016331214862,2.223157212668575,14.431065280554792,0.8195274639446284,0.14826319552228856,0,scenario_model_generated_from_literature_calibrated_priors
baseline,aortic_high_pressure,0.48282804721123207,0.4267904785833214,37.82221981535989,0.25320059292173924,0.57111449881116,32.75,29.563935804109118,2.3781996618073746,78.08345956681084,0.5940351649629837,6.174586950929622,11.103548777798379,0.07610110158393224,0.4648486275565572,1,scenario_model_generated_from_literature_calibrated_priors
